id,begin,end,utterance_id,word_id,pronunciation_id,workflow_id
1,0.0,0.09,1,1,,1
2,0.09,0.15,1,7,9,1
3,0.15,0.37,1,96029,100574,1
4,0.37,0.71,1,188837,197003,1
5,0.71,0.9,1,88614,92934,1
6,0.9,0.95,1,7,9,1
7,0.95,1.24,1,28422,29683,1
8,1.24,1.33,1,178185,186022,1
9,1.33,1.56,1,62293,65428,1
10,1.56,1.6,1,7,9,1
11,1.6,1.92,1,104153,108947,1
12,1.92,2.38,1,180347,188274,1
13,2.38,2.79,1,1,,1
14,2.79,3.36,1,88005,92182,1
15,3.36,3.47,1,1,,1
16,3.47,3.61,1,78761,82510,1
17,3.61,3.87,1,65187,68475,1
18,3.87,3.92,1,7,9,1
19,3.92,4.23,1,114470,119539,1
20,4.23,4.39,1,175683,183435,1
21,4.39,4.85,1,146015,152519,1
22,4.85,5.0,1,81447,85279,1
23,5.0,5.37,1,181532,189485,1
24,5.37,5.8,1,157377,164495,1
25,5.8,6.125,1,1,,1
